Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-01-03 00:00:00-05:00,14.550000190734863,15.850000381469727,14.545000076293945,15.15999984741211,8181269,0.0,0.0
2022-01-04 00:00:00-05:00,15.010000228881836,15.489999771118164,14.260000228881836,14.989999771118164,7998665,0.0,0.0
2022-01-05 00:00:00-05:00,14.619999885559082,14.704999923706055,13.319999694824219,13.364999771118164,10875593,0.0,0.0
2022-01-06 00:00:00-05:00,15.4399995803833,16.3799991607666,13.670000076293945,14.430000305175781,39233296,0.0,0.0
2022-01-07 00:00:00-05:00,14.430000305175781,15.406100273132324,13.5600004196167,13.800000190734863,10496402,0.0,0.0
2022-01-10 00:00:00-05:00,13.430000305175781,13.75,12.5649995803833,13.010000228881836,9094549,0.0,0.0
2022-01-11 00:00:00-05:00,13.020000457763672,13.359999656677246,12.510000228881836,13.119999885559082,8080745,0.0,0.0
2022-01-12 00:00:00-05:00,13.84000015258789,13.920000076293945,13.380000114440918,13.819999694824219,6068427,0.0,0.0
2022-01-13 00:00:00-05:00,13.960000038146973,16.259899139404297,13.609999656677246,15.100000381469727,21837032,0.0,0.0
2022-01-14 00:00:00-05:00,14.920000076293945,15.600000381469727,14.63010025024414,15.460000038146973,10247678,0.0,0.0
2022-01-18 00:00:00-05:00,15.140000343322754,15.369999885559082,13.890000343322754,14.0600004196167,6823022,0.0,0.0
2022-01-19 00:00:00-05:00,14.09000015258789,14.380000114440918,13.680000305175781,13.699999809265137,4571813,0.0,0.0
2022-01-20 00:00:00-05:00,14.050000190734863,14.625,13.34000015258789,13.430000305175781,5840708,0.0,0.0
2022-01-21 00:00:00-05:00,13.25,13.4399995803833,12.390000343322754,12.960000038146973,8397549,0.0,0.0
2022-01-24 00:00:00-05:00,12.600000381469727,14.34000015258789,12.420000076293945,14.039999961853027,10856196,0.0,0.0
2022-01-25 00:00:00-05:00,13.699999809265137,15.479999542236328,13.699999809265137,15.050000190734863,8945161,0.0,0.0
2022-01-26 00:00:00-05:00,15.119999885559082,15.3503999710083,13.960000038146973,14.149999618530273,8180054,0.0,0.0
2022-01-27 00:00:00-05:00,14.6141996383667,14.87600040435791,13.662799835205078,13.829999923706055,5298325,0.0,0.0
2022-01-28 00:00:00-05:00,13.760000228881836,16.1299991607666,13.65999984741211,15.529999732971191,14807457,0.0,0.0
2022-01-31 00:00:00-05:00,15.300000190734863,17.170000076293945,15.270000457763672,16.239999771118164,10899094,0.0,0.0
2022-02-01 00:00:00-05:00,16.10110092163086,18.040000915527344,16.10110092163086,17.079999923706055,8990214,0.0,0.0
2022-02-02 00:00:00-05:00,16.950000762939453,17.609899520874023,16.370100021362305,17.040000915527344,7176271,0.0,0.0
2022-02-03 00:00:00-05:00,16.600000381469727,16.920000076293945,15.510000228881836,15.880000114440918,6428443,0.0,0.0
2022-02-04 00:00:00-05:00,15.970000267028809,16.364999771118164,15.470000267028809,16.190000534057617,5884113,0.0,0.0
2022-02-07 00:00:00-05:00,16.190000534057617,16.859899520874023,15.954999923706055,16.270000457763672,4081368,0.0,0.0
2022-02-08 00:00:00-05:00,16.350000381469727,16.969999313354492,16.219999313354492,16.649999618530273,3348922,0.0,0.0
2022-02-09 00:00:00-05:00,16.739999771118164,17.075000762939453,16.493999481201172,17.010000228881836,3283179,0.0,0.0
2022-02-10 00:00:00-05:00,16.829999923706055,17.299999237060547,15.961700439453125,16.100000381469727,4880455,0.0,0.0
2022-02-11 00:00:00-05:00,16.280000686645508,16.940000534057617,15.520000457763672,15.6899995803833,4595924,0.0,0.0
2022-02-14 00:00:00-05:00,15.680000305175781,16.21500015258789,15.46500015258789,15.529999732971191,3158992,0.0,0.0
2022-02-15 00:00:00-05:00,15.710000038146973,16.74799919128418,15.710000038146973,16.65999984741211,3952780,0.0,0.0
2022-02-16 00:00:00-05:00,16.549999237060547,16.899999618530273,15.852499961853027,16.110000610351562,2714545,0.0,0.0
2022-02-17 00:00:00-05:00,15.989999771118164,16.299999237060547,15.0,15.069999694824219,4752365,0.0,0.0
2022-02-18 00:00:00-05:00,15.0,15.75,14.9399995803833,15.010000228881836,3141909,0.0,0.0
2022-02-22 00:00:00-05:00,14.779999732971191,15.020000457763672,13.680000305175781,13.6899995803833,4843234,0.0,0.0
2022-02-23 00:00:00-05:00,13.760000228881836,14.219799995422363,13.149999618530273,13.15999984741211,4067311,0.0,0.0
2022-02-24 00:00:00-05:00,12.675000190734863,15.375,12.420000076293945,15.369999885559082,8092887,0.0,0.0
2022-02-25 00:00:00-05:00,15.289999961853027,16.90999984741211,15.25,16.170000076293945,7459379,0.0,0.0
